"GM_CODE","GM_NAAM","POSTCODE","DEK_PERC","OAD","STED","AANT_INW","AANT_MAN","AANT_VROUW","P_00_14_JR","P_15_24_JR","P_25_44_JR","P_45_64_JR","P_65_EO_JR","P_ONGEHUWD","P_GEHUWD","P_GESCHEID","P_VERWEDUW","BEV_DICHTH","AANTAL_HH","P_EENP_HH","P_HH_Z_K","P_HH_M_K","GEM_HH_GR","P_WEST_AL","P_N_W_AL","P_MAROKKO","P_ANT_ARU","P_SURINAM","P_TURKIJE","P_OVER_NW","WONINGEN","P_WONT2000","P_WONV2000","WOZ","P_KOOPWON","P_HUURWON","P_HUURCORP","P_HUUROVVH","P_HUKO_ONB","P_GAS_TOT","P_GAS_APP","P_GAS_TUS","P_GAS_HOEK","P_GAS_21K","P_GAS_VRY","P_GAS_ONB","P_STADVERW","P_ELEK_TOT","P_ELEK_APP","P_ELEK_TUS","P_ELEK_HOE","P_ELEK_21K","P_ELEK_VRY","P_ELEK_ONB","WWB_UITTOT","P_WWB_UIT","WWB_UITMUT","AGRA_BEDR","AGRA_MUT","P_GEWASSEN","P_VEETEELT","P_COMBI","AUTO_TOT","AUTO_HH","AUTO_LAND","BEDR_AUTO","MOTOR_2W","AF_ARTSPR","AV3_ARTSPR","AF_ZIEK_E","AV20ZIEK_E","AF_OPRITH","AF_KDV","AV3_KDV","AF_ONDVMB","AV5_ONDVMB","AF_ONDHV","AV5_ONDHV","AF_SUPERM","AV3_SUPERM","AF_RESTAU","AV3_RESTAU","AF_ZWEMB","AF_BIOS","AV10BIOS","AF_TREINST","OPP_TOT","OPP_LAND","OPP_WATER"
"GM0003","Appingedam",-99999999,-99999999,943,4,12030,5790,6240,16,10,24,30,20,40,45,7,8,505,5445,33,35,32,2.2,8,5,0,0,1,2,1,5525,91,9,152,49,50,44,7,0,2100,1650,1850,2100,2250,2800,1900,0,3000,2000,2750,2900,3200,3950,2350,250,50,15,35,-8,14,83,3,5170,0.9,217,420,545,0.9,3.4,3.9,1,0.7,1.3,1,1.4,3,1.6,2,0.8,4,0.9,9.9,1.7,23.4,0,1.5,2462,2380,82
"GM0005","Bedum",-99999999,-99999999,593,4,10445,5245,5205,18,12,23,32,15,43,47,5,5,234,4255,28,34,38,2.4,4,2,0,0,0,0,1,4320,94,6,192,68,31,23,9,1,2300,1300,1950,2200,2250,2900,3350,0,3350,2050,3000,3150,3350,3950,4150,100,24,17,85,-3,14,82,4,4515,1.1,101,680,495,1.1,1,10.3,2,0.9,1.1,2.3,7.5,0.3,7.6,0.2,1.2,2.7,1.1,6.3,2.1,10.5,0.6,2.2,4496,4458,38
"GM0007","Bellingwedde",-99999999,-99999999,154,5,9260,4640,4620,15,10,21,34,21,36,50,6,7,85,4115,29,39,32,2.2,8,3,0,0,0,0,2,4105,95,5,189,71,29,20,9,0,2750,1450,2000,2300,2450,3050,2900,0,3650,2000,2500,2800,3250,4050,4050,160,40,20,135,2,60,36,4,4980,1.2,46,855,600,1.8,1.1,10.3,1.6,1.2,4.8,0.1,4.5,0.4,8.8,0,2,0.9,1.6,1.4,7.5,20.1,0,8.9,11007,10833,174
"GM0009","Ten Boer",-99999999,-99999999,336,5,7425,3725,3700,21,11,25,30,13,45,46,4,5,164,2915,25,34,41,2.5,4,2,0,0,0,0,1,2945,90,10,195,79,20,16,4,1,2450,1050,2050,2350,2200,2800,-99999997,0,3500,2000,3050,3150,3400,4000,-99999997,50,16,-99999997,100,2,16,84,0,3480,1.2,77,475,455,1.5,1.4,11.2,2.8,0.7,2,0.6,9.9,0,9.9,0,1.8,1.3,1.3,2.2,9.4,11.8,0.4,8,4571,4527,44
"GM0010","Delfzijl",-99999999,-99999999,605,4,26635,13335,13300,16,11,23,30,20,40,47,7,7,200,11910,33,34,33,2.2,8,8,0,2,1,2,3,11825,93,7,150,61,39,29,9,0,2250,1450,1950,2200,2350,2850,2800,0,3200,2000,3050,3150,3350,4050,3700,650,58,8,165,1,45,51,4,11940,1,90,1570,1275,1.4,1.6,4.3,1.1,1,3.6,1.8,3.8,2,5.1,1.3,1.2,3.5,1.6,9.6,5.9,27,0,3.9,22748,13315,9434
"GM0014","Groningen",-99999999,-99999999,3104,1,187300,92675,94625,13,23,31,22,11,65,24,7,4,2393,109975,59,22,19,1.7,10,10,1,2,2,1,5,85205,89,11,178,41,59,42,18,0,1700,1500,1750,2050,2200,3050,2050,0,2600,2100,2850,3100,3800,4450,3100,7630,72,5,65,0,14,83,3,66885,0.6,854,9430,4705,0.7,16.5,2.7,2,1.1,0.5,28.9,1.3,10.8,1.5,8,0.6,17,0.6,117.9,3.3,2.7,4,2.3,8372,7828,543
"GM0015","Grootegast",-99999999,-99999999,193,5,12140,6210,5930,21,11,26,27,14,46,45,4,5,140,4635,24,32,44,2.6,2,1,0,0,0,0,1,4650,91,9,226,71,29,20,9,0,2550,1300,1900,2150,2200,2850,2150,0,3650,1950,2600,2850,3650,4100,-99999997,100,21,18,255,0,3,97,0,5955,1.3,69,1200,755,2.1,1,17.8,0.9,0.7,2.1,0.9,2.1,1.5,6.6,0.3,1.9,1.2,2.5,2,4.9,17,0,7.9,8777,8682,95
"GM0017","Haren",-99999999,-99999999,815,4,18515,8720,9795,17,9,18,30,25,40,46,6,8,406,8175,34,35,32,2.2,8,3,0,0,0,0,2,8445,95,5,307,64,35,15,20,1,2700,1600,2150,2450,3000,4150,1450,0,3350,2200,2900,3000,3750,4700,1950,170,22,25,55,-2,11,89,0,8885,1.1,195,695,550,0.9,3.9,6.9,2.1,1.2,1,5.4,3.3,2.1,3.2,1.8,1.2,3.6,1,11.1,8.5,6.8,3.7,2,5070,4564,505
"GM0018","Hoogezand-Sappemeer",-99999999,-99999999,1144,3,34755,17160,17595,17,11,26,29,18,43,42,8,6,522,15410,33,33,34,2.2,7,11,1,1,4,3,2,15565,86,14,160,55,45,36,9,0,2100,1300,1850,2200,2350,3200,1950,0,3150,2100,2950,3300,3650,4250,2750,1020,71,28,70,-1,65,33,1,15600,1,234,1655,1160,1.2,6.5,16.1,2,1.4,1.6,1.1,1.7,2.8,2,1.9,1.1,6.4,1,13.1,2.3,2.2,1.1,1.5,7305,6662,643
"GM0022","Leek",-99999999,-99999999,702,4,19365,9570,9795,19,11,25,29,16,43,46,6,6,306,7950,27,34,39,2.4,5,3,0,0,1,0,1,7875,89,11,220,66,34,24,10,0,2400,1350,2050,2250,2350,3050,2600,0,3550,2250,3000,3300,3550,4350,4250,270,35,19,170,-1,7,92,1,9170,1.2,145,1450,850,1.4,2.2,15.8,1.9,1.1,1.3,3,2.3,1.1,2.3,0.8,1.3,5.2,1.6,5.9,3.2,16.9,0.1,12.7,6427,6332,95
"GM0024","Loppersum",-99999999,-99999999,186,5,10450,5315,5140,18,11,23,32,16,44,45,6,5,94,4380,29,34,37,2.3,4,2,0,0,0,0,1,4465,98,2,177,66,33,27,6,1,2550,1200,2050,2300,2200,2900,-99999997,0,3400,1850,2750,2800,3050,3900,-99999997,170,40,10,175,-2,35,60,5,4935,1.1,44,835,730,2,1.2,14.2,1.6,1.3,4.5,0.3,9.3,0,10,0,2.1,0.6,1.7,1.5,9.5,20.2,0,3.3,11199,11103,96
"GM0025","Marum",-99999999,-99999999,298,5,10450,5390,5060,20,12,26,29,14,45,45,5,5,162,4125,24,33,43,2.5,4,2,0,0,0,0,1,4100,86,14,247,71,29,21,8,0,2650,1250,2000,2300,2150,3050,2950,0,3700,2100,2750,2950,3550,4200,3800,120,30,15,195,0,6,94,0,5280,1.3,82,905,625,1.7,1.4,14.5,1.3,2,1.7,1.5,8,0.1,8.2,0.1,1.6,1.4,1.6,2.7,2.5,14.3,0,15.4,6488,6450,38
"GM0034","Almere",-99999999,-99999999,1576,2,188160,93510,94650,21,14,31,27,8,51,38,8,3,1449,76730,29,25,46,2.4,10,27,4,2,11,2,9,73670,75,25,200,62,38,29,9,0,650,400,600,750,1100,1550,100,58,3600,2350,3750,3900,4900,5450,2700,3770,55,17,60,-5,72,19,9,213695,-99999997,-99999997,34360,6205,0.8,6.6,4,1.5,1.4,0.5,25.1,1.9,3.2,2.4,2.2,0.7,9.4,0.9,25.2,2.3,4.1,1,1.9,24877,12981,11895
"GM0037","Stadskanaal",-99999999,-99999999,735,4,33415,16510,16910,17,11,24,29,20,40,47,6,7,284,14645,32,34,34,2.2,5,3,0,0,0,0,3,14970,89,11,166,56,43,33,11,0,2350,1200,2050,2300,2400,3050,-99999997,0,3300,2050,2850,3100,3600,4100,-99999997,790,56,12,160,-4,57,31,12,16020,1.1,136,2455,1475,1.6,1.8,5.2,1.2,1.2,1.8,1.1,1.8,1.6,3.3,1.3,1.2,5.5,1.2,9.3,4.7,4.4,1,20.2,11996,11768,227
"GM0040","Slochteren",-99999999,-99999999,208,5,15555,7950,7605,19,10,26,31,14,44,46,5,5,103,6350,25,35,40,2.4,4,2,0,0,0,0,1,6350,87,13,210,71,29,20,9,0,2550,1350,2050,2250,2250,2950,1700,0,3700,2050,2750,2850,3600,4200,3000,160,25,30,195,2,47,49,4,8045,1.3,53,1535,1140,1.7,1.4,13.4,2.1,2.1,2.1,0.8,4.9,0.7,8.5,0.2,1.9,0.9,1.4,2.3,8.6,10.4,0.8,7.8,15884,15110,774
"GM0047","Veendam",-99999999,-99999999,887,4,28025,13910,14115,17,11,26,30,18,40,46,7,7,368,12320,30,35,35,2.2,5,6,0,0,1,3,2,12560,90,10,158,65,35,25,10,0,2350,1400,2100,2400,2500,3100,2550,0,3300,2200,3000,3200,3550,4150,3800,640,54,9,70,-6,60,38,3,13395,1.1,176,1740,1410,1.1,5.2,13.7,2,2,1.2,4.1,2.2,1.9,2.2,1.9,1.2,5.3,1.1,12.6,2.2,12.2,0,7.9,7871,7610,261
"GM0048","Vlagtwedde",-99999999,-99999999,337,5,16260,8060,8200,16,10,22,31,20,38,48,6,8,97,7110,30,36,34,2.3,6,2,0,0,0,0,2,7035,92,8,195,66,34,25,9,0,2650,1450,2150,2500,2500,3050,-99999997,0,3600,2350,2900,3000,3450,4100,-99999997,140,20,59,255,0,57,33,10,8395,1.2,50,1450,945,1.9,1.3,16.7,1.6,1.1,3.1,0.7,4.4,0.6,4.7,0.6,1.8,2.8,1.3,4.5,12,16.2,0,17.8,17051,16761,291
"GM0050","Zeewolde",-99999999,-99999999,840,4,20905,10620,10285,24,12,28,26,9,46,45,6,2,84,7855,23,29,48,2.6,7,4,0,0,1,0,3,7710,76,24,261,63,37,25,12,0,1550,950,1350,1600,1800,2650,850,8,3850,2400,3650,3900,4850,5350,-99999997,160,22,18,270,0,51,37,12,11805,1.5,47,2190,960,1.6,2.6,13.2,1,1.8,1.5,4,2.2,0.9,2.2,0.9,1.5,4.3,1.6,9.6,2.2,12.6,0,13.9,26897,24863,2033
"GM0051","Skarsterlân",-99999999,-99999999,567,4,27290,13685,13605,19,11,24,29,16,44,45,5,6,147,11185,28,34,38,2.4,4,2,0,0,0,0,1,11370,92,8,238,67,32,26,7,0,2200,1250,1750,1950,2100,2700,-99999997,0,3300,2050,2550,2700,3400,3950,-99999997,260,24,20,330,-4,3,96,1,12870,1.2,69,2535,1380,1.6,2.4,10.2,1.8,2,2.2,2.6,4,1.4,4.1,0.7,1.3,2.9,1.1,7.9,4,10.8,0.3,9.9,21689,18527,3162
"GM0053","Winsum",-99999999,-99999999,404,5,14075,7030,7045,20,11,23,32,15,44,45,6,5,139,5835,29,33,38,2.4,4,2,0,0,0,0,1,5840,92,8,184,69,30,24,6,1,2350,1400,1950,2200,2200,2850,-99999997,0,3300,2050,2950,3000,3250,3800,-99999997,200,34,12,165,0,15,82,3,6215,1.1,61,830,615,1.3,0.9,15.8,1.7,1,2.4,1.2,3.4,1.3,3.3,0.8,1.2,1.4,1.7,3,9.1,15.9,0.1,2.1,10253,10110,144
"GM0055","Boarnsterhim",-99999999,-99999999,401,5,19355,9765,9590,20,10,26,29,15,45,44,6,5,128,8210,30,33,37,2.3,4,2,0,0,0,0,1,8215,91,9,205,63,35,27,8,1,2200,1350,1750,2050,2150,2700,1850,0,3150,1800,2650,2700,3250,3850,2400,170,21,-1,245,0,5,93,1,9300,1.1,61,1655,885,1.6,0.8,11.9,2.5,1.9,1.7,1.5,5.4,0.4,11.3,0,1.1,1.5,1.4,5.5,5.3,12.8,0.3,3.7,16859,15166,1693
"GM0056","Zuidhorn",-99999999,-99999999,366,5,18570,9240,9330,21,11,25,28,15,44,46,5,5,148,7300,26,33,41,2.5,4,2,0,0,0,0,1,7390,90,10,208,74,25,17,8,0,2450,1500,2000,2200,2250,3050,-99999997,0,3450,2200,2900,2950,3450,4000,4300,130,18,-4,240,-1,15,84,1,8480,1.2,68,1690,770,1.4,1.5,15.8,1.5,0.7,2.1,2.1,2.8,0.8,4.5,0.5,1.3,2,1.3,3.8,4.5,15.5,0.4,3,12837,12556,280
"GM0058","Dongeradeel",-99999999,-99999999,490,5,24410,12235,12175,19,12,25,27,17,44,45,5,5,146,10130,30,33,37,2.4,3,2,0,0,0,0,2,10435,91,9,176,65,35,29,7,0,2250,1300,1950,2150,2100,2650,-99999997,0,2900,1900,2450,2550,2850,3550,-99999997,390,40,-9,290,-2,30,64,6,11005,1.1,66,2015,995,1.5,1,5,1,1.2,5,0.5,4.6,2,4.8,1.1,1.4,4,1.6,7.2,5.5,26.9,0,13.6,26694,16729,9966
"GM0059","Achtkarspelen",-99999999,-99999999,385,5,28090,14265,13825,19,12,26,27,15,44,45,5,6,274,11355,27,32,41,2.4,2,1,0,0,0,0,1,11535,93,7,197,62,37,31,7,0,2400,1550,1900,2150,2200,2800,-99999997,0,3200,2050,2450,2700,3300,3700,-99999997,540,48,11,265,0,9,90,1,13460,1.2,131,2555,1150,1.3,1.3,13.8,1.2,1.2,3,0.7,3.4,1.5,3.5,0.7,1.5,2.5,1.3,3.2,6.1,14.7,0.1,6.9,10399,10255,145
"GM0060","Ameland",-99999999,-99999999,222,5,3500,1760,1740,19,9,25,30,17,44,45,5,5,60,1520,34,32,34,2.3,4,1,0,0,0,0,1,1570,88,12,220,70,28,17,11,2,2450,1200,1750,1950,2050,2900,2300,0,3550,1500,2500,2900,3300,4050,-99999997,10,5,-99999997,80,-1,9,91,0,1545,1,26,475,225,2.2,0.6,28.7,0,18.9,6.4,0.4,4.6,0.5,25.9,0,0.4,2.8,0.3,14.1,6.5,43.8,0,39.1,26850,5883,20967
